PFco_Code,segment,risk_category,priority,action,current_stock_kg,predicted_need_kg,safety_stock_kg,restock_qty_kg,turnover_ratio,stockout_pct,overstock_pct,suggestion
2035,slow moving,understock,RENDAH,TAMBAH STOK SEGERA,325.49,2741.9,1581.44,3997.85,1.54,7.5,0.0,Stok kurang (325 Kg vs kebutuhan 2742 Kg). Segera restock minimal 2416 Kg + safety stock 1581 Kg.
2036,slow moving,overstock,RENDAH,KURANGI STOK,406.27,0.0,449.16,0.0,0.23,2.78,0.0,Stok berlebih (406 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2037,slow moving,overstock,RENDAH,KURANGI STOK,8869.84,0.0,1291.46,0.0,0.56,0.0,100.0,Stok berlebih (8870 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2103,slow moving,overstock,RENDAH,KURANGI STOK,36.35,0.0,5.5,0.0,0.5,0.0,25.0,Stok berlebih (36 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2104,slow moving,overstock,RENDAH,KURANGI STOK,11.52,0.0,9.48,0.0,0.24,0.0,5.56,Stok berlebih (12 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2108,slow moving,overstock,RENDAH,KURANGI STOK,38.53,0.0,5.37,0.0,0.65,0.0,100.0,Stok berlebih (39 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2123,slow moving,overstock,RENDAH,KURANGI STOK,53.51,0.0,7.98,0.0,0.67,0.0,0.0,Stok berlebih (54 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2128,slow moving,overstock,RENDAH,KURANGI STOK,33.32,0.0,24.37,0.0,2.21,0.0,0.0,Stok berlebih (33 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2131,slow moving,overstock,RENDAH,KURANGI STOK,3.46,0.0,17.12,0.0,0.16,0.0,0.0,Stok berlebih (3 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2136,slow moving,overstock,RENDAH,KURANGI STOK,27.54,0.0,4.65,0.0,0.65,0.0,100.0,Stok berlebih (28 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2137,slow moving,overstock,RENDAH,KURANGI STOK,141.02,0.0,36.18,0.0,0.98,0.0,0.0,Stok berlebih (141 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2138,slow moving,overstock,RENDAH,KURANGI STOK,65.2,0.0,14.92,0.0,0.67,0.0,0.0,Stok berlebih (65 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2139,slow moving,overstock,RENDAH,KURANGI STOK,22.41,0.0,10.82,0.0,0.14,0.0,0.0,Stok berlebih (22 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2146,slow moving,overstock,RENDAH,KURANGI STOK,82.81,0.0,26.06,0.0,0.97,0.0,0.0,Stok berlebih (83 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2149,slow moving,overstock,RENDAH,KURANGI STOK,149.12,0.0,34.79,0.0,1.01,0.0,0.0,Stok berlebih (149 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2150,slow moving,overstock,RENDAH,KURANGI STOK,13.29,0.0,29.58,0.0,0.4,0.0,0.0,Stok berlebih (13 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
